year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1999,0.05919661733615222,0.03171247357293869,0.36152219873150104,0.21775898520084566,0.0,0.0,0.0,0.004228329809725159,0.0,0.05496828752642706,0.0,0.0,0.06553911205073996,0.12896405919661733,0.07610993657505286
2000,0.033210332103321034,0.01845018450184502,0.47232472324723246,0.15129151291512916,0.0,0.0,0.01107011070110701,0.0036900369003690036,0.0,0.06642066420664207,0.0,0.0,0.06642066420664207,0.0996309963099631,0.07749077490774908
2001,0.0694980694980695,0.05019305019305019,0.3127413127413127,0.138996138996139,0.0,0.0,0.138996138996139,0.003861003861003861,0.0,0.05405405405405406,0.0,0.0,0.11196911196911197,0.06177606177606178,0.05791505791505792
2002,0.07964601769911504,0.061946902654867256,0.17699115044247787,0.12831858407079647,0.0,0.0,0.19469026548672566,0.03982300884955752,0.008849557522123894,0.10619469026548672,0.004424778761061947,0.0,0.05309734513274336,0.11504424778761062,0.030973451327433628
2003,0.09359605911330049,0.15763546798029557,0.26108374384236455,0.13793103448275862,0.0049261083743842365,0.0,0.03940886699507389,0.029556650246305417,0.019704433497536946,0.07881773399014778,0.0,0.0,0.054187192118226604,0.08374384236453201,0.03940886699507389
2004,0.07419354838709677,0.14193548387096774,0.15161290322580645,0.1,0.035483870967741936,0.035483870967741936,0.03870967741935484,0.0967741935483871,0.0032258064516129032,0.07419354838709677,0.0,0.0032258064516129032,0.08387096774193549,0.13225806451612904,0.02903225806451613
2005,0.0825242718446602,0.08932038834951456,0.003883495145631068,0.02912621359223301,0.06893203883495146,0.04757281553398058,0.04563106796116505,0.1825242718446602,0.04174757281553398,0.1029126213592233,0.0,0.014563106796116505,0.02524271844660194,0.2524271844660194,0.013592233009708738
2006,0.06030150753768844,0.10552763819095477,0.004020100502512563,0.04020100502512563,0.07839195979899498,0.07336683417085427,0.035175879396984924,0.17788944723618091,0.04824120603015075,0.08040201005025126,0.005025125628140704,0.01306532663316583,0.023115577889447236,0.2321608040201005,0.023115577889447236
2007,0.06227106227106227,0.08131868131868132,0.002197802197802198,0.03882783882783883,0.0761904761904762,0.07765567765567766,0.020512820512820513,0.1575091575091575,0.063003663003663,0.07545787545787545,0.007326007326007326,0.027106227106227107,0.021245421245421246,0.27692307692307694,0.012454212454212455
2008,0.07560627674750357,0.05848787446504993,0.0021398002853067048,0.029243937232524966,0.05349500713266762,0.07203994293865906,0.02211126961483595,0.1833095577746077,0.07703281027104136,0.0898716119828816,0.005706134094151213,0.011412268188302425,0.024251069900142655,0.275320970042796,0.019971469329529243
2009,0.07202216066481995,0.04362880886426593,0.0013850415512465374,0.035318559556786706,0.054016620498614956,0.07132963988919667,0.018005540166204988,0.17105263157894737,0.06024930747922438,0.08240997229916898,0.055401662049861494,0.018698060941828253,0.008310249307479225,0.296398891966759,0.011772853185595568
2010,0.07692307692307693,0.05572998430141287,0.0007849293563579278,0.02119309262166405,0.04631083202511774,0.07299843014128729,0.026687598116169546,0.16483516483516483,0.0565149136577708,0.06436420722135008,0.01098901098901099,0.02433281004709576,0.022762951334379906,0.3453689167974882,0.01020408163265306
2011,0.07088607594936709,0.0270042194092827,0.0008438818565400844,0.015189873417721518,0.039662447257383965,0.07763713080168777,0.010970464135021098,0.18227848101265823,0.07341772151898734,0.08691983122362869,0.010126582278481013,0.019409282700421943,0.01350210970464135,0.3670886075949367,0.005063291139240506
2012,0.06572379367720466,0.013311148086522463,0.0,0.016638935108153077,0.06073211314475874,0.059900166389351084,0.0,0.1788685524126456,0.06073211314475874,0.10565723793677205,0.005823627287853577,0.02329450915141431,0.013311148086522463,0.389351081530782,0.0066555740432612314
2013,0.06141732283464567,0.009448818897637795,0.0007874015748031496,0.014960629921259842,0.04015748031496063,0.05433070866141732,0.003937007874015748,0.1921259842519685,0.06614173228346457,0.09133858267716535,0.0007874015748031496,0.02047244094488189,0.012598425196850394,0.4259842519685039,0.005511811023622047
2014,0.07116104868913857,0.010486891385767791,0.000749063670411985,0.009737827715355805,0.03220973782771536,0.051685393258426963,0.0022471910112359553,0.18277153558052434,0.05318352059925094,0.10561797752808989,0.00149812734082397,0.024719101123595506,0.01198501872659176,0.4389513108614232,0.00299625468164794
2015,0.059334298118668596,0.013748191027496382,0.0,0.00723589001447178,0.03328509406657019,0.060781476121562955,0.00361794500723589,0.19609261939218525,0.0824891461649783,0.07814761215629522,0.000723589001447178,0.02243125904486252,0.013024602026049204,0.4276410998552822,0.001447178002894356
2016,0.06680584551148225,0.006958942240779402,0.0,0.007654836464857342,0.028531663187195546,0.04732080723729993,0.0013917884481558804,0.18162839248434237,0.07306889352818371,0.09046624913013222,0.0013917884481558804,0.025748086290883786,0.009742519137091163,0.4558107167710508,0.003479471120389701
2017,0.062111801242236024,0.012422360248447204,0.0,0.0,0.024844720496894408,0.062111801242236024,0.0,0.13664596273291926,0.037267080745341616,0.08074534161490683,0.0,0.043478260869565216,0.012422360248447204,0.5279503105590062,0.0
