Name,Synonym 1,Synonym 2,Synonym 3,Synonym 4
Abiraterone,,,,
Abraxane,,,,
Abstral,,,,
Actinomycin D,,,,
Actiq,,,,
Adriamycin,,,,
Afatinib,Giotrif,,,
Afinitor,,,,
Aflibercept,Zaltrap,,,
Aldara,,,,
Aldesleukin,Proleukin,,,
Alemtuzumab,MabCampath,,,
Alkeran,,,,
Amsacrine,Amsidine,,,
Amsidine,,,,
Anastrozole,Arimidex,,,
Aredia,,,,
Arimidex,,,,
Aromasin,,,,
Arsenic trioxide,Trisenox,,,
Asparaginase,Crisantaspase,Erwinase,,
Axitinib,Inlyta,,,
Azacitidine,Vidaza,,,
Bendamustine,Levact,,,
Bevacizumab,Avastin,,,
Bexarotene,Targretin,,,
Bicalutamide,Casodex,,,
Bleomycin,,,,
Bortezomib,Velcade,,,
Bosulif,,,,
Bosutinib,Bosulif,,,
Brentuximab,Adcetris,,,
Brufen,,,,
Buserelin,Suprefact,,,
Busilvex,,,,
Busulfan,Myleran,Cabazitaxel,Jevtana,Busilvex
Cabozantinib,Cometriq,,,
Caelyx,,,,
Calpol,,,,
Campto,,,,
Capecitabine,Xeloda,,,
Caprelsa,,,,
Carbo MV,,,,
Carboplatin,,,,
CarboTaxol,,,,
Carmustine,Gliadel,,,
Casodex,,,,
Ceritinib,Zykadia,,,
Cerubidin,,,,
Cetuximab,Erbitux,,,
Chlorambucil,Leukeran,,,
ChlVPP,,,,
Cisplatin,,,,
Cladribine,Leustat,LITAK,,
Clasteon,,,,
Clofarabine,Evoltra,,,
Co-codamol,Kapake,Solpadol,Tylex,
Cometriq,,,,
Cosmegen,,,,
Crisantaspase,,,,
Crizotinib,Xalkori,,,
Cyclophosphamide,,,,
Cyprostat,,,,
Cyproterone acetate,Cyprostat,,,
Cytarabine,cytosine arabinoside,,,
Cytosine arabinoside,,,,
Dabrafenib,Tafinlar,,,
Dacarbazine,DTIC,,,
Dacogen,,,,
Dactinomycin,actinomycin,Cosmegen,,
Dasatinib,Sprycel,,,
Daunorubicin,,,,
De Gramont,,,,
Decapeptyl SR,,,,
Decitabine,Dacogen,,,
Degarelix,Firmagon,,,
Denosumab,Prolia,Xgeva,,
Depocyte,,,,
Dexamethasone,,,,
Diamorphine,,,,
Disodium pamidronate,,,,
Disprol,,,,
Docetaxel,Taxotere,,,
Doxifos,,,,
Doxil,,,,
Doxorubicin,Adriamycin,,,
Drogenil,,,,
Durogesic,,,,
Effentora,,,,
Efudix,,,,
Eldisine,,,,
Eloxatin,,,,
Enzalutamide,,,,
Epirubicin,Pharmorubicin,,,
Eposin,,,,
Erbitux,,,,
Eribulin,Halaven,,,
Erlotinib,Tarceva,,,
Erwinase,,,,
Estracyt,,,,
Etopophos,,,,
Etoposide,Eposin,Etopophos,Vepesid,
Everolimus,Afinitor,,,
Evoltra,,,,
Exemestane,Aromasin,,,
Faslodex,,,,
Femara,,,,
Fentanyl,,,,
Firmagon,,,,
Fludara,,,,
Fludarabine,Fludara,,,
Fluorouracil,,,,
Flutamide,,,,
Fulvestrant,faslodex,Gefitinib,Iressa,
GemCarbo,,,,
Gemcitabine,Gemzar,,,
GemTaxol,,,,
Gemzar,,,,
Giotrif,,,,
Gliadel,,,,
Glivec,,,,
Gonapeptyl,,,,
Goserelin,Zoladex,Novgos,,
Granulocyte colony stimulating factor,,,,
Halaven,,,,
Herceptin,,,,
Hycamtin,,,,
Hydrea,,,,
Hydroxycarbamide,Hydrea,,,
Hydroxyurea,,,,
Ibandronic ,,,,
Ibritumomab,Zevalin,,,
Ibrutinib,Imbruvica,,,
Ibuprofen,Brufen,Nurofen,,
Iclusig,,,,
Idarubicin,Zavedos,,,
Idelalisib,Zydelig,,,
Ifosfamide,Mitoxana,,,
Imatinib,Glivec,,,
Imiquimod,Aldara,,,
Imnovid,,,,
Instanyl,,,,
Interferon,,,,
Interleukin,,,,
Ipilimumab,Yervoy,,,
Iressa,,,,
Irinotecan,Campto,,,
Javlor,,,,
Jevtana,,,,
Kadcyla,,,,
Kapake,,,,
Keytruda,,,,
Lanreotide,Somatuline,,,
Lanvis,,,,
Lapatinib,Tyverb,,,
Lenalidomide,Revlimid,,,
Letrozole,Femara,,,
Leukeran,,,,
Leuprorelin,Prostap,Lutrate,,
Leustat,,,,
Levact,,,,
Liposomal doxorubicin,,,,
Litak,,,,
Lomustine,CCNU,,,
Lynparza,,,,
Lysodren,Mabthera,,,
Maxtrex,,,,
Medroxyprogesterone acetate,Provera,,,
Megace,,,,
Megestrol acetate,Megace,,,
Melphalan,Alkeran,,,
Mepact,,,,
Mercaptopurine,Xaluprine,,,
Methotrexate,Maxtrex,,,
Methyl prednisolone,,,,
Mifamurtide,Mepact,,,
Mitomycin C,,,,
Mitotane,,,,
Mitoxana,,,,
Mitoxantrone,Mitozantrone,,,
Morphgesic SR,,,,
Morphine,,,,
Myleran,,,,
Myocet,,,,
Nab-paclitaxel,Abraxane,,,
Navelbine,,,,
Nelarabine,Atriance,,,
Nexavar,,,,
Nilotinib,Tasigna,,,
Nintedanib,Vargatef,,,
Nipent,,,,
Nivolumab,Opdivo,,,
Novgos,,,,
Nurofen,,,,
Obinutuzumab,Gazyvaro,,,
Octreotide,,,,
Ofatumumab,Arzerra,,,
Olaparib,Lynparza,,,
Oncovin,,,,
Onkotrone,,,,
Opdivo,,,,
Oramorph,,,,
Oxaliplatin,Eloxatin,,,
Oxaliplatin and capecitabine,Xelox,,,
Paclitaxel,Taxol,,,
Paclitaxel and carboplatin,,,,
Pamidronate,,,,
Panadol,,,,
Panitumumab,Vectibix,,,
Paracetamol,,,,
Pazopanib,Votrient,,,
Pembrolizumab,Keytruda,,,
Pemetrexed,Alimta,,,
Pentostatin,Nipent,,,
Perjeta,,,,
Pertuzumab,Perjeta,,,
Pixantrone,Pixuvri,,,
Pixuvri,,,,
Pomalidomide,Imnovid,,,
Ponatinib,Iclusig,,,
Potactasol,,,,
Prednisolone,,,,
Procarbazine,,,,
Proleukin,,,,
Prolia,,,,
Prostap,,,,
Provera,,,,
Purinethol,,,,
Raloxifene,,,,
Raltitrexed,Tomudex,,,
Regorafenib,Stivarga,,,
Revlimid,,,,
Rituximab,Mabthera,,,
Sevredol,,,,
Sodium clodronate,Bonefos,Clasteon,Loron,
Solpadol,,,,
Sorafenib,Nexavar,,,
Steroids,dexamethasone,prednisolone,methylprednisolone,
Streptozocin,Zanosar,,,
Sunitinib,Sutent,,,
Sutent,,,,
Tafinlar,,,,
Tamoxifen,,,,
Tarceva,,,,
Targretin,,,,
Tasigna,,,,
Taxol,,,,
Taxotere,,,,
Temodal,,,,
Temozolomide,Temodal,,,
Temsirolimus,Torisel,,,
Tepadina,,,,
Teysuno,,,,
Thalidomide,,,,
Thiotepa,Tepadina,,,
Tioguanine,thioguanine,,,
Tomudex,,,,
Topotecan,Hycamtin,Potactasol,,
Torisel,,,,
Trabectedin,Yondelis,,,
Trastuzumab,Herceptin,,,
Treosulfan,,,,
Tretinoin,Vesanoid,,,
Triptorelin,Decapeptyl,Gonapeptyl,,
Trisenox,,,,
Tylex,,,,
Tyverb,Vandetanib,Caprelsa,,
Vargatef,,,,
Vectibix,,,,
VeIP,,,,
Velbe,,,,
Velcade,,,,
Vemurafenib,Zelboraf,,,
Vepesid,,,,
Vesanoid,,,,
Vidaza,,,,
Vinblastine,Velbe,,,
Vincristine,,,,
Vindesine,Eldisine,,,
Vinflunine,Javlor,,,
Vinorelbine,Navelbine,,,
Vismodegib,Erivedge,,,
Votrient,Xalkori,,,
Xeloda,,,,
Xgeva,,,,
Xtandi,,,,
Yervoy,,,,
Yondelis,Zaltrap,,,
Zanosar,,,,
Zavedos,,,,
Zelboraf,,,,
Zevalin,,,,
Zoladex,,,,
Zoledronic ,Zometa,,,
Zometa,,,,
Zomorph,,,,
Zydelig,,,,
Zytiga,,,,
